,highway,side,between,time,period,start_loc,end_loc
1065,Hadley Road,West,Belsize Drive and Manor Road East,"8:00 a.m. to 6:00 p.m., Mon. to Fri., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Belsize Drive , Manor Road East
1066,Hagar Avenue,South and west,The west end of Hagar Avenue and a point 100.7 metres north of St. Clair Avenue West,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,The west end of Hagar Avenue , a point 100.7 metres north of St. Clair Avenue West
1067,Hagar Avenue,West,St. Clair Avenue West and a point 100.5 metres north of St. Clair Avenue West,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,St. Clair Avenue West , a point 100.5 metres north of St. Clair Avenue West
1068,Hahn Place,West,A point 9 metres south of The Esplanade and Scadding Avenue,"8:45 a.m. to 9:15 a.m., 11:15 a.m. to 1:30 p.m., 3:15 p.m. to 5:00 p.m., Mon. to Fri.",15 mins.,A point 9 metres south of The Esplanade , Scadding Avenue
1069,Hahn Place,West,Longboat Avenue and Scadding Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Longboat Avenue , Scadding Avenue
1070,Haig Avenue,East,Kingston Road and the south end of Haig Avenue,"Dec. 1 of one year to Mar. 31 of the next following year, inclusive",12 hours,Kingston Road , the south end of Haig Avenue
1071,Haig Avenue,East,Kingston Road and the south end of Haig Avenue,"16th to end of month, Apr. 1 to Nov. 30",12 hours,Kingston Road , the south end of Haig Avenue
1072,Haig Avenue,West,Kingston Road and the south end of Haig Avenue,"1st to 15th of each month, Apr. 1 to Nov. 30",12 hours,Kingston Road , the south end of Haig Avenue
1073,Halton Street,North,Shaw Street and Ossington Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Shaw Street , Ossington Avenue
1074,Hamilton Street,West,Gerrard Street East and Mountstephen Street,Anytime,1 hour,Gerrard Street East , Mountstephen Street
1075,Hamilton Street,West,Queen Street East and Thompson Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Queen Street East , Thompson Street
1076,Hampton Avenue,East,Danforth Avenue and a point 22.9 metres south,"9:00 a.m. to 11:30 a.m., 1:30 p.m. to 4:00 p.m., Mon. to Fri.; 9:00 a.m. to 6:00 p.m., Sat. and Sun.",1 hour,Danforth Avenue , a point 22.9 metres south
1077,Hampton Avenue,East,Danforth Avenue and a point 22.9 metres south,"7:00 a.m. to 9:00 a.m., 11:30 a.m. to 1:30 p.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,Danforth Avenue , a point 22.9 metres south
1078,Hampton Avenue,East,A point 22.9 metres south of Danforth Avenue and a point 74.6 metres north of Garnock Avenue,9:00 a.m. to 6:00 p.m.,1 hour,A point 22.9 metres south of Danforth Avenue , a point 74.6 metres north of Garnock Avenue
1079,Hampton Avenue,East,A point 53.3 metres north of Garnock Avenue and Garnock Avenue,9:00 a.m. to 6:00 p.m.,1 hour,A point 53.3 metres north of Garnock Avenue , Garnock Avenue
1080,Hanna Road,West,Eglinton Avenue East and Broadway Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays",1 hour,Eglinton Avenue East , Broadway Avenue
1081,Hanna Road,West,Broadway Avenue and Glenvale Boulevard,"10:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays",1 hour,Broadway Avenue , Glenvale Boulevard
1082,Hanna Road,East,Broadway Avenue and Glenvale Boulevard,"10:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays",1 hour,Broadway Avenue , Glenvale Boulevard
1083,Hanson Street,South,Hillingdon Avenue and Roseheath Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Hillingdon Avenue , Roseheath Avenue
1088,Harcourt Avenue,South,Carlaw Avenue and Pape Avenue,10:00 a.m. to 7:00 p.m.,1 hour,Carlaw Avenue , Pape Avenue
1089,Harcroft Road,East,Bloor Street West and Olympus Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Bloor Street West , Olympus Avenue
1090,Harlow Avenue,North,Ennerdale Road and Kirknewton Road,8:00 a.m. to 7:00 p.m.,1 hour,Ennerdale Road , Kirknewton Road
1091,Harris Avenue,North,Westlake Avenue and Oak Park Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Westlake Avenue , Oak Park Avenue
1092,Harris Avenue,South,Chisholm Avenue and Oak Park Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Chisholm Avenue , Oak Park Avenue
1093,Harrison Road,East,A point 30 metres south of Berkindale Drive and a point 90 metres south of Berkindale Drive,Anytime,15 mins.,A point 30 metres south of Berkindale Drive , a point 90 metres south of Berkindale Drive
1094,Harrison Road,East,A point 45.7 metres north of Berkindale Drive and Old Colony Road,Anytime,15 mins.,A point 45.7 metres north of Berkindale Drive , Old Colony Road
1095,Harrison Street,North,Dovercourt Road and a point 45.7 metres east,Anytime,1 hour,Dovercourt Road , a point 45.7 metres east
1096,Harrison Street,North,Ossington Avenue and a point 56.4 metres west,"7:00 a.m. to 10:00 a.m., 12:00 p.m. to 1:00 p.m. and 3:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",15 mins.,Ossington Avenue , a point 56.4 metres west
1097,Hartley Avenue,West,Eglinton Avenue West and Bowie Avenue,8:00 a.m. to 7:00 p.m.,1 hour,Eglinton Avenue West , Bowie Avenue
1098,Harvard Avenue,North,Roncesvalles Avenue and Callender Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat., Dec. 1 of one year to May 31 of the next following year, inclusive",1 hour,Roncesvalles Avenue , Callender Street
1099,Harvard Avenue,South,Roncesvalles Avenue and Callender Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat., Jun. 1 to Nov. 30, inclusive",1 hour,Roncesvalles Avenue , Callender Street
1100,Harwood Road,East,Manor Road East and the south end of Harwood Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Manor Road East , the south end of Harwood Road
1101,Haven Road,East,Glen Long Avenue and Playfair Avenue,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",15 mins.,Glen Long Avenue , Playfair Avenue
1102,Havenview Road,East,A point 15 metres north of Invergordon Avenue and a point 135 metres further north,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 15 metres north of Invergordon Avenue , a point 135 metres further north
1103,Hawarden Crescent,South,Spadina Road (south intersection) and Dunloe Road,"9:15 a.m. to 11:30 a.m., 1:15 p.m. to 3:00 p.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., Sep. 1 of one year to Jun. 30 of the next following year, inclusive",1 hour,Spadina Road (south intersection) , Dunloe Road
1104,Hay Avenue,Both,Royal York Road and a a point 36.5 metres west,Anytime,2 hours,Royal York Road , a a point 36.5 metres west
1105,Heath Street West,South,Tweedsmuir Avenue and a point 15 metres west of Walmer Road,"9:00 a.m. to 9:00 p.m., Mon. to Fri.",1 hour,Tweedsmuir Avenue , a point 15 metres west of Walmer Road
1106,Heath Street West,South,Spadina Road and Forest Hill Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Spadina Road , Forest Hill Road
1107,Heath Street West,South,A point 65.3 metres west of Tweedsmuir Avenue and Tichester Road,"8:00 a.m. to 6:00 p.m., Mon. to Sat., except public holidays",2 hours,A point 65.3 metres west of Tweedsmuir Avenue , Tichester Road
1108,Heath Street West,North,Walmer Road and a point 41 metres west of Spadina Road,"9:00 a.m. to 9:00 p.m., Mon. to Fri.",1 hour,Walmer Road , a point 41 metres west of Spadina Road
1111,Heathdale Road,North,Raglan Avenue and Glen Cedar Road,10:00 a.m. to 7:00 p.m.,1 hour,Raglan Avenue , Glen Cedar Road
1113,Heather Road,South,A point 160 metres east of Glen Watford Drive and a point 110 metres further east,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 160 metres east of Glen Watford Drive , a point 110 metres further east
1114,Heather Road,South,A point 290 metres east of Glen Watford Drive and a point 70 metres further east,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 290 metres east of Glen Watford Drive , a point 70 metres further east
1115,Heddington Avenue,East,Burnaby Boulevard and Crestview Road (east intersection),10:00 a.m. to 6:00 p.m.,1 hour,Burnaby Boulevard , Crestview Road (east intersection)
1116,Heintzman Street,East,Lane first north of Dundas Street West and the north end of Heintzman Street,8:00 a.m. to 6:00 p.m.,1 hour,Lane first north of Dundas Street West , the north end of Heintzman Street
1121,Helendale Avenue,South,Duplex Avenue and Edith Drive,"10:00 a.m. to 6:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Duplex Avenue , Edith Drive
1123,Henderson Avenue,North,Manning Avenue and Grace Street,"Anytime, Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Manning Avenue , Grace Street
1125,Hendon Avenue,North,Kensington Avenue and Talbot Road,9:00 a.m. to 9:00 p.m.,1 hour,Kensington Avenue , Talbot Road
1126,Henning Avenue,East,Eglinton Avenue West and the north end of Henning Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Eglinton Avenue West , the north end of Henning Avenue
1127,Henning Avenue,East,Eglinton Avenue West and the north end of Henning Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Eglinton Avenue West , the north end of Henning Avenue
1128,Henry Lane Terrace,South and West,Frederick Street and George Street South (north intersection),"8:00 a.m. to 4:00 p.m., Mon. to Sat.",1 hour,Frederick Street , George Street South (north intersection)
1129,Herbert Avenue,West,A point 38.1 metres north of Queen Street East and Hartford Avenue,"Anytime, Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,A point 38.1 metres north of Queen Street East , Hartford Avenue
1130,Herman Avenue,Both,Ritchie Avenue and the northwest end of Herman Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Ritchie Avenue , the northwest end of Herman Avenue
1131,Herrick Street,North,Euclid Avenue and Bathurst Street,Anytime,1 hour,Euclid Avenue , Bathurst Street
1132,Hertford Avenue,North,The west end of Hertford Avenue and Bicknell Avenue,8:00 a.m. to 7:00 p.m.,1 hour,The west end of Hertford Avenue , Bicknell Avenue
1133,High Park Avenue,Both,Dundas Street West and Annette Street,8:00 a.m. to 6:00 p.m.,1 hour,Dundas Street West , Annette Street
1134,High Park Boulevard,Both,Roncesvalles Avenue and Sunnyside Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Roncesvalles Avenue , Sunnyside Avenue
1135,Highbourne Road,West,A point 41.1 metres south of Eglinton Avenue West and College View Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 41.1 metres south of Eglinton Avenue West , College View Avenue
1136,Highbrook Drive,South,A point 56 metres west of Dorcot Avenue (east intersection) and a point 120 metres further west,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 56 metres west of Dorcot Avenue (east intersection) , a point 120 metres further west
1137,Highcastle Road,West,Pineslope Crescent and a point 145 metres further north,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Pineslope Crescent , a point 145 metres further north
1138,Highfield Road,East,Dundas Street East and Gerrard Street East,Anytime,1 hour,Dundas Street East , Gerrard Street East
1139,Highfield Road,East,Gerrard Street East and Walpole Avenue,"Anytime, Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Gerrard Street East , Walpole Avenue
1140,Highfield Road,West,Dundas Street East and Richard Avenue,Anytime,1 hour,Dundas Street East , Richard Avenue
1141,Highgate Avenue,East,Hollywood Avenue and Hillcrest Avenue,Mon. to Fri.,15 mins.,Hollywood Avenue , Hillcrest Avenue
1142,Highview Avenue,North,A point 120 metres east of South Woodrow Boulevard and a point 74 metres further east,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 120 metres east of South Woodrow Boulevard , a point 74 metres further east
1143,Hillingdon Avenue,West,Woodrow Avenue and Danforth Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Woodrow Avenue , Danforth Avenue
1144,Hillingdon Avenue,East,Hanson Street and Woodrow Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Hanson Street , Woodrow Avenue
1145,Hillmount Avenue,South,Glenmount Avenue and a point 80 metres west of Bathurst Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",30 mins.,Glenmount Avenue , a point 80 metres west of Bathurst Street
1146,Hillsboro Avenue,South,Davenport Road and the east end of Hillsboro Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Davenport Road , the east end of Hillsboro Avenue
1147,Hillsboro Avenue,North,Davenport Road and a point 54 metres east,8:00 a.m. to 6:00 p.m.,1 hour,Davenport Road , a point 54 metres east
1148,Hillsdale Avenue East,South,A point 68.6 metres east of Yonge Street and Redpath Avenue,10:00 a.m. to 6:00 p.m.,1 hour,A point 68.6 metres east of Yonge Street , Redpath Avenue
1150,Hillsdale Avenue West,South,Lascelles Boulevard and Colin Avenue,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Lascelles Boulevard , Colin Avenue
1151,Hillsdale Avenue West,South,Lascelles Boulevard and Oriole Parkway,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Lascelles Boulevard , Oriole Parkway
1152,Hillsdale Avenue West,South,Duplex Avenue and the lane first west of Yonge Street,"10:00 a.m. to 6:00 p.m., Sat. and Sun.",1 hour,Duplex Avenue , the lane first west of Yonge Street
1153,Jasper Avenue,South,A point 22.2 metres southwest of Weston Road and a point 37.2 metres southwest thereof,8:00 a.m. to 7:00 p.m.,1 hour,A point 22.2 metres southwest of Weston Road , a point 37.2 metres southwest thereof
1154,Jasper Avenue,South,A point 17.9 metres east of Langden Avenue and a point 61.6 metres east thereof,8:00 a.m. to 7:00 p.m.,1 hour,A point 17.9 metres east of Langden Avenue , a point 61.6 metres east thereof
1155,Jasper Avenue,South,A point 65.4 metres southwest of Weston Road and a point 14.7 metres southwest thereof,8:00 a.m. to 7:00 p.m.,1 hour,A point 65.4 metres southwest of Weston Road , a point 14.7 metres southwest thereof
1157,Jennings Avenue,North,A point 9 metres west of Clendenan Avenue and a point 73 metres further west,"7:30 a.m. to 9:30 a.m., 11:00 a.m. to 1:00 p.m., 3:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays",10 mins.,A point 9 metres west of Clendenan Avenue , a point 73 metres further west
1158,Jesmond Avenue,South,Glenholme Avenue and a point 44 metres west of Oakwood Avenue,8:00 a.m. to 7:00 p.m.,1 hour,Glenholme Avenue , a point 44 metres west of Oakwood Avenue
1159,Johnston Avenue,South,Yonge Street and a point 91.5 metres west of Yonge Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Yonge Street , a point 91.5 metres west of Yonge Street
1161,John Street (TO),West,Queen Street West and Stephanie Street,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,Queen Street West , Stephanie Street
1162,John Street (YK),South,Elm Street and Pine Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Elm Street , Pine Street
1163,John Tabor Trail,East,A point opposite Duffort Court and a point 95 metres north of a point opposite Duffort Court,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point opposite Duffort Court , a point 95 metres north of a point opposite Duffort Court
1164,Joicey Boulevard,North,Avenue Road and a point 152.5 metres east of Avenue Road,8:00 a.m. to 6:00 p.m.,1 hour,Avenue Road , a point 152.5 metres east of Avenue Road
1165,Jopling Avenue,Both,Bloor Street West and a point 61 metres north,Anytime,1 hour,Bloor Street West , a point 61 metres north
1166,Joyce Parkway (north leg),North,Eugene Street (north intersection) and Caledonia Road (north intersection),Anytime,1 hour,Eugene Street (north intersection) , Caledonia Road (north intersection)
1167,Juliet Crescent,South,Westbury Crescent and Bicknell Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Westbury Crescent , Bicknell Avenue
1168,Kalmar Avenue,East,Freeman Street (west intersection) and Hollis Avenue,Anytime,12 hours,Freeman Street (west intersection) , Hollis Avenue
1169,Keele Street,West,Eglinton Avenue West (west intersection) and Gilpin Avenue,Anytime,2 hours,Eglinton Avenue West (west intersection) , Gilpin Avenue
1170,Keele Street,East,Eglinton Avenue West (west intersection) and Rogers Road,Anytime,2 hours,Eglinton Avenue West (west intersection) , Rogers Road
1171,Keeler Boulevard,South,Tweedrock Crescent (east intersection) and Edenmills Drive (east intersection),"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Tweedrock Crescent (east intersection) , Edenmills Drive (east intersection)
1172,Keewatin Avenue,South,A point 177.3 metres east of Yonge Street and a point 300 metres east of Yonge Street,8:00 a.m. to 6:00 p.m.,1 hour,A point 177.3 metres east of Yonge Street , a point 300 metres east of Yonge Street
1173,Keewatin Avenue,South,A point 300 metres east of Yonge Street and Mount Pleasant Road,8:00 a.m. to 6:00 p.m.,2 hours,A point 300 metres east of Yonge Street , Mount Pleasant Road
1175,Keewatin Avenue,South,Yonge Street and a point 36 metres east,8:00 a.m. to 6:00 p.m.,1 hour,Yonge Street , a point 36 metres east
1176,Kelvin Avenue,West,A point 45.7 metres south of Danforth Avenue and the south end of Kelvin Avenue,"8:00 a.m to 6:00 p.m. from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,A point 45.7 metres south of Danforth Avenue , the south end of Kelvin Avenue
1177,Kenworthy Avenue,East,The south end of Kenworthy Avenue and Danforth Avenue,Anytime,12 hours,The south end of Kenworthy Avenue , Danforth Avenue
1178,Kendal Avenue,East,Kendal Avenue (east/west branch) and Dupont Street,10:00 a.m. to 6:00 p.m.,1 hour,Kendal Avenue (east/west branch) , Dupont Street
1179,Kennedy Avenue,East,A point 63.3 metres north of Bloor Street West and Colbeck Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,A point 63.3 metres north of Bloor Street West , Colbeck Street
1180,Kensington Avenue,West,A point 27.7 metres north of  Kensington Place and a point 10.4 metres south of Baldwin Street,7:00 a.m. to 7:00 p.m.,30 mins.,A point 27.7 metres north of  Kensington Place , a point 10.4 metres south of Baldwin Street
1181,Kensington Avenue,East,Dundas Street West and St. Andrew Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Dundas Street West , St. Andrew Street
1182,Kenwood Avenue,East,A point 56.2 metres north of St. Clair Avenue West and Maplewood Avenue,"8:00 a.m. to 7:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,A point 56.2 metres north of St. Clair Avenue West , Maplewood Avenue
1183,Kenwood Avenue,West,A point 56.2 metres north of St. Clair Avenue West and Maplewood Avenue,"8:00 a.m. to 7:00 p.m., from the 16th day of each month to the last day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,A point 56.2 metres north of St. Clair Avenue West , Maplewood Avenue
1184,Kenwood Avenue,East,A point 56.2 metres north of St. Clair Avenue West and Maplewood Avenue,"8:00 a.m. to 7:00 p.m., from the 1st day of each month to the 15th day of each month, Apr. 1 to Nov. 30, inclusive",1 hour,A point 56.2 metres north of St. Clair Avenue West , Maplewood Avenue
1185,Kenwood Avenue,East,Maplewood Avenue and Vaughan Road,8:00 a.m. to 7:00 p.m.,1 hour,Maplewood Avenue , Vaughan Road
1186,Keystone Avenue,Both,Keystone Avenue and Morton Road,8:00 a.m. to 6:00 p.m.,1 hour,Keystone Avenue , Morton Road
